#UM Propeller 23 KT, KQ, and efficiency historical data
#J,KT_700rpm,J,KT_900rpm,J,KT_1100rpm,J,10KQ_700rpm,J,10KQ_900rpm,J,10KQ_1100rpm,J,eta_1100rpm
0.16947205410615812,0.414824494122252,0.16822211336377857,0.43038645692913047,0.3502899672897936,0.3652559503767572,0.16866615046695,0.6182841667284569,0.16858556010302927,0.6386301339890774,0.4745413460170978,0.496561720914233,0.050879383088665214,0.05491266946160045
0.33480871640092924,0.37367636708850005,0.21942385790812702,0.40391525734824896,0.4740736058657143,0.31464811913273616,0.3353049002101672,0.5484090392486016,0.2198157483052322,0.6049780047868003,0.5245642589637027,0.4677001600867413,0.10057045336030218,0.10982862088372258
0.41221497084525077,0.33157428352978513,0.2598691591738697,0.3930322762584193,0.5252326849232811,0.29894831398394794,0.41148965756996353,0.5146879888753697,0.2578844239369184,0.594101587618014,0.5781426291421077,0.44122239658481655,0.14908269203419572,0.16235421105923464
0.49436973594804295,0.29065589373254974,0.2991024445743723,0.3881366851469408,0.5788157957113287,0.27127372887845713,0.4948279948801417,0.47496313872117835,0.29834868764123074,0.5784313201139206,0.6293396330768137,0.41594801860750097,0.19998103756143032,0.2124795941065717
0.5038809790939116,0.28943281644481045,0.3478991198268096,0.36885297910849824,0.629970134159253,0.25677074533323485,0.5043487192452951,0.4713464182263073,0.34836211936855094,0.5519634024935608,0.6841584627783133,0.37630193550582947,0.2508699018693803,0.26499862036104005
0.5859219695652862,0.2772381451331567,0.38601520155492003,0.3460083459040528,0.6847605202028983,0.22430559185295895,0.5864750406902328,0.4376089580504672,0.3852756664507056,0.5327125160603349,0.7389251457737467,0.3498208900433831,0.2993916217625588,0.31513056732942035
0.6645070556073511,0.23752642282105196,0.393149819066732,0.3447918325373569,0.7382677812366671,0.21578015240452275,0.6638860357441967,0.3943100528881863,0.39119826809727726,0.5374833926719903,0.786557211257368,0.3245563579476325,0.3502852266801511,0.3664527719803231
0.7026373591643886,0.21109132480590886,0.425324336709701,0.3219636091355197,0.7871308250240983,0.17974094391615725,0.7008517295324179,0.36189412881573535,0.4245516173379897,0.5170455305167633,0.8437479259832814,0.28610053252848355,0.40000474060964236,0.41418779378104964
0.8288782137382869,0.14013096238022404,0.4502883870865794,0.31950104475743313,0.8442551712150184,0.15804062094693117,0.828333043629411,0.2777654467903038,0.44958203624986176,0.49782746368875375,0.8949923360144114,0.24885793851550886,0.44972425453913384,0.4619228155817764
0.9085805034527439,0.1183682821610863,0.4788268571338275,0.31463499129064953,0.8954758781979364,0.12678213495178603,0.9093089771344598,0.234456695746458,0.4793230409430655,0.4893676634507508,0.9521925319596101,0.20800846988922816,0.49826019626123913,0.5084642977394589
0.9121644043423986,0.11357114986525763,0.5145094259121725,0.30615878125003826,0.9526334086563533,0.09670406075759841,0.9105399554382696,0.22368201935384324,0.5150435345985493,0.47131688058161225,1.0046252548077683,0.1707625939157318,0.5480081538485848,0.5490183899187899
0.9931877439438714,0.058294182785752824,0.5169476794715802,0.2905935364826381,1.0062117788347584,0.07022629725567375,0.99398258616058,0.1576270939212019,0.5173917165747515,0.4784912462819646,1.0499660256308962,0.12396183687683815,0.5977418896070035,0.5931629469088191
0.9991150862000855,0.06186823779384221,0.5466981653840686,0.27974009303750336,1.0502741652576517,0.04616843264505399,0.9998862253685823,0.16718525694712083,0.5460297394244902,0.44849193914029684,1.0904776954316326,0.09632335333708575,0.6486829006210202,0.6325169355240626
1.0740404215982176,0.04610279343462076,0.6050487492691561,0.24846191527922823,1.095529605107217,0.020910464470346835,1.0355972378047817,0.15152811728511406,0.5793546450073481,0.4352350066064652,,,0.6996476146832484,0.6658868161214768
1.0895406349256516,0.03289509030861404,0.641891187206675,0.24716335289949087,,,1.0738081317257402,0.1047470520093503,0.6043471390420809,0.42559151260698314,,,0.749442978367018,0.6944726922651488
1.1551159079057567,-0.022339211284108984,0.6716416731191632,0.23630990945435615,,,1.0905156203087718,0.08674878050855872,0.6412891297820902,0.3991596965523615,,,0.7992573044893576,0.7182712819945573
,,0.6788521403852537,0.21594425043060572,,,1.1537142676548202,0.0315210428368784,0.6710680593524327,0.3811253234858314,,,0.8479165020621655,0.7336954024595261
,,0.7359670053568892,0.1966375706685114,,,,,0.6781979362546022,0.3811056317227014,,,0.8966231057313974,0.7371513068888356
,,0.7716827584027308,0.1797836094029388,,,,,0.7103155665818626,0.3726392675636554,,,0.9465606877044388,0.7298325349255305
,,0.8002022660114092,0.17970484235041895,,,,,0.7365248170914782,0.35581156198225594,,,0.9966073036992555,0.6949868660802092
,,0.8014616879730734,0.16174923633640859,,,,,0.7722832356241012,0.32818620628459017,,,1.0229018851824343,0.6566163716346236
,,0.8335603558617639,0.1580701585916261,,,,,0.7984924861337168,0.3113585007031908,,,1.0468293222508416,0.6158587979029493
,,0.8394924387276206,0.16044739199614955,,,,,0.8020669058040866,0.308955011614494,,,1.0721157340834033,0.5320123644823805
,,0.865725392285448,0.13763557839692064,,,,,0.8342509046663402,0.28373314500552516,,,1.0976107327402307,0.3955057805049119
,,0.8990597790875909,0.12198500265595735,,,,,0.8663969786514547,0.2680858512250833,,,1.1246875148144053,0.15965972147095098
,,0.937166379596416,0.10153401265864381,,,,,0.898576236904066,0.24406080621968018,,,,
,,0.9668789406317653,0.10025514204203634,,,,,0.9354708215476506,0.229597206200718,,,,
,,0.9680909564970057,0.0942677520636852,,,,,0.9652781947758484,0.20438190351279228,,,,
,,0.9919093595436375,0.08103707521402681,,,,,0.9665139136893008,0.19241040551661148,,,,
,,1.0300538849296021,0.05101151238818602,,,,,0.9927184235892739,0.17677952153877796,,,,
,,1.0598185926710173,0.03656760413235327,,,,,1.0355972378047817,0.15152811728511406,,,,
,,1.0954869396204352,0.03168185890243991,,,,,1.0296841173774949,0.144363597466327,,,,
,,1.1228892435567215,0.013654049756953057,,,,,1.0594630469478372,0.12632922439979677,,,,
,,1.1431142644944141,0.00761414841025565,,,,,1.0939193780320149,0.12743086914823443,,,,
,,,,,,,,1.0939952277862934,0.10828172349117993,,,,
,,,,,,,,1.1226522130746013,0.07349512993524865,,,,
,,,,,,,,1.1429483431569305,0.04950290453506212,,,,
,,,,,,,,1.1631733640946222,0.04346300318836427,,,,
,,,,,,,,1.163268176287471,0.019526571117046032,,,,
