#UM propeller 23 data averaged spline curves
#J,KT,J,10KQ,J,eta
-0.0005637079890609964,0.4989840626806366,-0.000029387620282803062,0.7260133871539667,0,-1.1102230246251565e-16
0.05006849015636139,0.4802828497733996,0.04981735958303546,0.7025790672709343,0.045019162671406765,0.04985573350042882
0.10070157883573153,0.4607933524069515,0.10045311986424957,0.680724716526853,0.10031063443257612,0.10685023000063132
0.20038438683499363,0.4233841261514199,0.20014661427088717,0.6338560767607881,0.20061948779725633,0.21527702891968503
0.30006541376635976,0.3875514688143106,0.3006344649591086,0.5838376993784071,0.30014378075378056,0.3181824364037324
0.34990770829993856,0.36805857122733365,0.4003297404336422,0.5353924906939198,0.3506985024457303,0.3680619714478623
0.4005416875132567,0.3477807894016745,0.4818296262833812,0.49317535261096446,0.4004624299918883,0.4179381062714638
0.5002271671143625,0.30800670976850963,0.5000285780439664,0.48379414417258876,0.48182962628338133,0.49317535261096446
0.6007034408612603,0.2682360303558733,0.6005208814019278,0.42983434449415203,0.5015789976473715,0.5113909006860348
0.7003951542000012,0.22294395950823087,0.7002232811480442,0.3750828601359761,0.6003338692728549,0.5953740809284869
0.8000850864708462,0.17922845757901085,0.800722708777589,0.31481678478385083,0.7006827966651935,0.6683280791830402
0.9005720466251195,0.12999836465584103,0.9004366854650298,0.2498176024559302,0.8002640837943874,0.720783281277576
1.0002717747693906,0.07761173367529794,1.0001586769580018,0.17772385999510998,0.9006735674951875,0.7401339363057735
1.0501256462442956,0.047871138118576795,1.1101930515683927,0.07729607986956089,1.0003679524357747,0.6924770120804977
1.0999768461173547,0.020495395939488903,1.0500250159081759,0.13694728200943307,0.9544609274182451,0.7285408844135508
1.1340041482690457,0.00014620948272903167,1.1505796566424933,0.02780757018621849,1.0558295161810038,0.5989091768713763
,,1.1695898848296737,0.00029921940651544965,1.0804545609100944,0.5012673107655843
,,,,1.1003579946470823,0.3831096473971315
,,,,1.1155433795277585,0.24128304892917318
,,,,1.1267614356702567,0.11126371624673881
,,,,1.1340041482690457,0.00014620948272903167
